date,2015,2016,2017,2018,2019,2020,weekly_covid_deaths
jan.-1,6862,5900,7994,7282,6227,6072,
jan.-12,4223,3637,5179,4454,4186,3950,
jan.-19,4192,3808,4849,4160,4054,3837,
jan.-26,4296,3817,4438,4176,4261,3838,
fev.-2,4463,3541,4201,3972,4352,3835,
fev.-9,4436,3676,3893,3759,4357,3829,
fev.-16,4121,3505,3735,4007,4205,3741,2
fev.-23,3466,"3128,125",3262,3280,3433,3402,27
mar.-1,3825,3486,3558,3894,3896,4860,204
mar.-8,3758,3465,3489,3794,3594,6958,1208
mar.-15,3628,3439,3530,3456,3608,9189,3384
mar.-22,3640,3383,3356,3443,3505,8558,5198